Year,UNIT_MULT,SDG Series,Composite breakdown,Unit of measure,COMMENT_OBS,Value
2016,6,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,333114.0
2017,6,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,727871.0
2018,6,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,835109.0
2019,6,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,926650.0
2020,6,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,928784.0
2021,6,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,993304.0
2022,6,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,1263157.0
2023,6,"Passenger volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,Figures represent value of output of passengers/ freight,1429139.0
2014,6,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,282695.0
2015,6,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,306884.0
2016,6,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,331370.0
2017,6,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,467128.0
2018,6,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,542029.0
2019,6,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,605340.0
2020,6,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,608618.0
2021,6,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,896624.0
2022,6,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,963064.0
2023,6,"Freight volumes, by mode of transport (000 Passenger)",Mode of Transport: Road,Kenyan Shillings,,1134320.0
