Year,AGE,URBANISATION,Value
2014,,,21.0
2022,,,14.8
2014,,R,14.1
2022,,R,18.4
2014,,U,27.0
2022,,U,9.7
2014,Y15T19,,11.4
2022,Y15T19,,9.1
2014,Y20T24,,14.7
2022,Y20T24,,9.9
2014,Y25T29,,18.0
2022,Y25T29,,13.2
2014,Y30T34,,22.9
2022,Y30T34,,16.1
2014,Y35T39,,27.8
2022,Y35T39,,18.7
2014,Y40T44,,32.1
2022,Y40T44,,23.8
2014,Y45T49,,40.9
2022,Y45T49,,23.1
