Year,SOURCE_DETAIL,URBANISATION,Value
2016,"2016:  KIHBS, 2019-21: KCHS",,24.2
2019,"2016:  KIHBS, 2019-21: KCHS",,30.5
2020,"2016:  KIHBS, 2019-21: KCHS",,34.4
2021,"2016:  KIHBS, 2019-21: KCHS",,30.5
2022,"2016:  KIHBS, 2019-21: KCHS",,31.7
2019,"2016:  KIHBS , 2019-21: KCHS",R,34.0
2020,"2016:  KIHBS , 2019-21: KCHS",R,35.1
2021,"2016:  KIHBS , 2019-21: KCHS",R,32.2
2022,"2016:  KIHBS , 2019-21: KCHS",R,33.2
2019,"2016:  KIHBS , 2019-21: KCHS",U,22.5
2020,"2016:  KIHBS , 2019-21: KCHS",U,33.0
2021,"2016:  KIHBS , 2019-21: KCHS",U,26.8
2022,"2016:  KIHBS , 2019-21: KCHS",U,28.6
