Year,SEX,AGE,URBANISATION,Value
2021,,,,12.2
2021,,,R,12.0
2021,,,U,12.5
2021,,Y15T24,,12.7
2021,,Y25T44,,13.5
2021,,Y45T54,,10.5
2021,,Y55T64,,10.4
2021,,Y_GE65,,8.5
2021,F,,,18.7
2021,F,,R,18.6
2021,F,,U,18.9
2021,F,Y15T24,,19.1
2021,F,Y25T44,,21.0
2021,F,Y45T54,,16.4
2021,F,Y55T64,,15.9
2021,F,Y_GE65,,12.0
2021,M,,,3.6
2021,M,,R,3.4
2021,M,,U,4.0
2021,M,Y15T24,,4.2
2021,M,Y25T44,,3.4
2021,M,Y45T54,,3.6
2021,M,Y55T64,,3.2
2021,M,Y_GE65,,3.3
