Year,SEX,URBANISATION,Value
2014,,,28.8
2022,,,28.0
2014,,R,27.3
2022,,R,25.4
2014,,U,29.9
2022,,U,25.4
2014,F,,22.7
2022,F,,28.1
2014,M,,33.9
2022,M,,22.4
