Year,SOURCE_DETAIL,SERIES,SEX,URBANISATION,COMMENT_OBS,Value
2022,2022 KCHS,SP_LGL_LNDAGSEC,F,,,25.4
2022,2022 KCHS,SP_LGL_LNDAGSEC,F,R,,33.4
2022,2022 KCHS,SP_LGL_LNDAGSEC,F,U,,10.0
2016,2016:  KIHBS,SP_GNP_WNOWNS,F,,"2016: Share of  households with legal documents of agricultural (crop only) land by sex of the household head
2022 KDHS Did not measure tenure system",31.7
2016,2016:  KIHBS,_L_KE_050a01_01,M,,"2016: Share of  households with legal documents of agricultural (crop only) land by sex of the household head
2022 KDHS Did not measure tenure system",68.3
