Year,SOURCE_DETAIL,SEX,URBANISATION,EDUCATION_LEV,COMPOSITE_BREAKDOWN,Value
2019,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",F,,ISCED11A_1,SKILL_READ,53.5
2020,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",F,,ISCED11A_1,SKILL_READ,53.8
2023,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",F,,ISCED11A_1,SKILL_READ,27.2
2017,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",M,,ISCED11A_1,SKILL_READ,47.4
2018,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",M,,ISCED11A_1,SKILL_READ,54.6
2019,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",M,,ISCED11A_1,SKILL_READ,53.8
2020,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",M,,ISCED11A_1,SKILL_READ,53.2
2023,"Basic Education Statistics Booklet, Assessments for Minimum profficiency Levels a and b(AMPL-ab)",M,,ISCED11A_1,SKILL_READ,23.9
2018,Monitoring Learner Achievement at Form 2 Level of Secondary Education in Kenya: A Baseline Report; KNEC,,,ISCED11_2,SKILL_READ,39.9
2018,Monitoring Learner Achievement at Form 2 Level of Secondary Education in Kenya: A Baseline Report; KNEC,F,,ISCED11_2,SKILL_READ,43.5
2018,Monitoring Learner Achievement at Form 2 Level of Secondary Education in Kenya: A Baseline Report; KNEC,M,,ISCED11_2,SKILL_READ,36.3
2015,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",,,_L_KE_1,SKILL_MATH,47.1
2017,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",,,_L_KE_1,SKILL_MATH,71.1
2018,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",,,_L_KE_1,SKILL_MATH,67.0
2019,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",,,_L_KE_1,SKILL_MATH,76.1
2023,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",,,_L_KE_1,SKILL_MATH,88.6
2017,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",,R,_L_KE_1,SKILL_MATH,71.9
2018,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",,R,_L_KE_1,SKILL_MATH,62.2
2019,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",,R,_L_KE_1,SKILL_MATH,73.2
2017,"Basic Education Statistics Booklet, 2015: Uwezo Kenya Sixth Learning Assessment Report, Monitoring Learner Achievement at Grade 2 Level of Primary School Education in Kenya: Early Grade Mathematics",,U,_L_KE_1,SKILL_MATH,82.5
