Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2016,Normal value,Units,KARLO,Plant genetic resources accessions stored ex situ (number) [2.5.1],,Number,2019,,50323
2019,Normal value,Units,KARLO,Plant genetic resources accessions stored ex situ (number) [2.5.1],,Number,2019,,51405
