Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,COMMENT_OBS,GeoCode,Value
2021,A,3,Economic Survey,_L_KE_090102_02,,MOT_AIR,T,2023,,,375.8
2022,A,3,Economic Survey,_L_KE_090102_02,,MOT_AIR,T,2023,,,375.0
2023,A,3,Economic Survey,_L_KE_090102_02,,MOT_AIR,T,2023,,,380.0
2014,A,3,Economic Survey,_L_KE_090102_02,,MOT_IWW_SEA,T,2023,"Data from Mombasa, Lamu and Kisumu ports",,24875.0
2015,A,3,Economic Survey,_L_KE_090102_02,,MOT_IWW_SEA,T,2023,"Data from Mombasa, Lamu and Kisumu ports",,26732.0
2016,A,3,Economic Survey,_L_KE_090102_02,,MOT_IWW_SEA,T,2023,"Data from Mombasa, Lamu and Kisumu ports",,27384.0
2017,A,3,Economic Survey,_L_KE_090102_02,,MOT_IWW_SEA,T,2023,"Data from Mombasa, Lamu and Kisumu ports",,30245.0
2018,A,3,Economic Survey,_L_KE_090102_02,,MOT_IWW_SEA,T,2023,"Data from Mombasa, Lamu and Kisumu ports",,30934.0
2019,A,3,Economic Survey,_L_KE_090102_02,,MOT_IWW_SEA,T,2023,"Data from Mombasa, Lamu and Kisumu ports",,34458.0
2020,A,3,Economic Survey,_L_KE_090102_02,,MOT_IWW_SEA,T,2023,"Data from Mombasa, Lamu and Kisumu ports",,34162.0
2021,A,3,Economic Survey,_L_KE_090102_02,,MOT_IWW_SEA,T,2023,"Data from Mombasa, Lamu and Kisumu ports",,34605.2
2022,A,3,Economic Survey,_L_KE_090102_02,,MOT_IWW_SEA,T,2023,"Data from Mombasa, Lamu and Kisumu ports",,33939.0
2023,A,3,Economic Survey,_L_KE_090102_02,,MOT_IWW_SEA,T,2023,"Data from Mombasa, Lamu and Kisumu ports",,36143.0
2014,A,3,Economic Survey,_L_KE_090102_02,,MOT_RAI,T,2023,,,1509.0
2015,A,3,Economic Survey,_L_KE_090102_02,,MOT_RAI,T,2023,,,1542.0
2016,A,3,Economic Survey,_L_KE_090102_02,,MOT_RAI,T,2023,,,1380.0
2017,A,3,Economic Survey,_L_KE_090102_02,,MOT_RAI,T,2023,,,1147.0
2018,A,3,Economic Survey,_L_KE_090102_02,,MOT_RAI,T,2023,,,3544.0
2019,A,3,Economic Survey,_L_KE_090102_02,,MOT_RAI,T,2023,,,4826.0
2020,A,3,Economic Survey,_L_KE_090102_02,,MOT_RAI,T,2023,,,5063.0
2021,A,3,Economic Survey,_L_KE_090102_02,,MOT_RAI,T,2023,,,6051.0
2022,A,3,Economic Survey,_L_KE_090102_02,,MOT_RAI,T,2023,,,6877.0
2023,A,3,Economic Survey,_L_KE_090102_02,,MOT_RAI,T,2023,,,7534.0
2014,A,6,Economic Survey,_L_KE_090102_02,,MOT_ROA,KES,2023,,,282695.0
2015,A,6,Economic Survey,_L_KE_090102_02,,MOT_ROA,KES,2023,,,306884.0
2016,A,6,Economic Survey,_L_KE_090102_02,,MOT_ROA,KES,2023,,,331370.0
2017,A,6,Economic Survey,_L_KE_090102_02,,MOT_ROA,KES,2023,,,467128.0
2018,A,6,Economic Survey,_L_KE_090102_02,,MOT_ROA,KES,2023,,,542029.0
2019,A,6,Economic Survey,_L_KE_090102_02,,MOT_ROA,KES,2023,,,605340.0
2020,A,6,Economic Survey,_L_KE_090102_02,,MOT_ROA,KES,2023,,,608618.0
2021,A,6,Economic Survey,_L_KE_090102_02,,MOT_ROA,KES,2023,,,896624.0
2022,A,6,Economic Survey,_L_KE_090102_02,,MOT_ROA,KES,2023,,,963064.0
2023,A,6,Economic Survey,_L_KE_090102_02,,MOT_ROA,KES,2023,,,1134320.0
