Year,Observation status,Unit multiplier,COMMENT_OBS,SOURCE_DETAIL,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,,Percent,2022,,66.9
2019,Normal value,Units,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,,Percent,2022,,89.3
2022,Normal value,Units,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,,Percent,2022,,76.0
2022,Normal value,Units,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,Rural,Percent,2022,,73.2
2022,Normal value,Units,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,,Urban,Percent,2022,,81.3
2022,Normal value,Units,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Female,,Percent,2022,,75.6
2022,Normal value,Units,Registration here refers to those whose birth was notified,"KPHC, MOH , Civil Registration",Proportion of children under 5 years of age whose births have been registered with a civil authority [16.9.1],,Male,,Percent,2022,,76.3
