Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2014,SP_DYN_MRBF15,,F,PT,,4.4
2018,SP_DYN_MRBF15,,F,PT,,2.6
2022,SP_DYN_MRBF15,,F,PT,,2.2
2014,SP_DYN_MRBF18,,F,PT,,22.9
2018,SP_DYN_MRBF18,,F,PT,,14.3
2022,SP_DYN_MRBF18,,F,PT,,12.5
