Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,GeoCode,Value
2016,Proportion of population with access to electricity,,Percent,Normal value,Units,2024,,33.8
2022,Proportion of population with access to electricity,,Percent,Normal value,Units,2024,,49.6
2024,Proportion of population with access to electricity,,Percent,Normal value,Units,2024,,65.5
