Year,Observation status,Unit multiplier,Observation-level footnotes,SERIES,Reference area,UNIT_MEASURE,Time period details,Source details,GeoCode,Value
2023,Normal value,Units,Total Expenditures  with net acquisition of non financial assets,Proportion of domestic budget funded by taxes on international trade,,Percent,2023,,,5.9
2014,Normal value,Units,Total Expenditures  with net acquisition of non financial assets,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,2023,Economic Survey,,59.6
2015,Normal value,Units,Total Expenditures  with net acquisition of non financial assets,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,2023,Economic Survey,,53.0
2016,Normal value,Units,Total Expenditures  with net acquisition of non financial assets,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,2023,Economic Survey,,58.2
2017,Normal value,Units,Total Expenditures  with net acquisition of non financial assets,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,2023,Economic Survey,,59.1
2018,Normal value,Units,Total Expenditures  with net acquisition of non financial assets,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,2023,Economic Survey,,54.8
2019,Normal value,Units,Total Expenditures  with net acquisition of non financial assets,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,2023,Economic Survey,,64.0
2020,Normal value,Units,Total Expenditures  with net acquisition of non financial assets,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,2023,Economic Survey,,59.0
2021,Normal value,Units,Total Expenditures  with net acquisition of non financial assets,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,2023,Economic Survey,,59.7
2022,Normal value,Units,Total Expenditures  with net acquisition of non financial assets,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,2023,Economic Survey,,65.9
2023,Normal value,Units,Total Expenditures  with net acquisition of non financial assets,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,2023,Economic Survey,,65.3
