Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,KNBS : National Accounts,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,2023,,12.4
2015,Normal value,Units,KNBS : National Accounts,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,2023,,14.5
2016,Normal value,Units,KNBS : National Accounts,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,2023,,13.0
2017,Normal value,Units,KNBS : National Accounts,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,2023,,12.6
2018,Normal value,Units,KNBS : National Accounts,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,2023,,13.2
2019,Normal value,Units,KNBS : National Accounts,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,2023,,13.4
2020,Normal value,Units,KNBS : National Accounts,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,2023,,15.1
2021,Normal value,Units,KNBS : National Accounts,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,2023,,15.2
2022,Normal value,Units,KNBS : National Accounts,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,2023,,19.4
2023,Normal value,Units,KNBS : National Accounts,Proportion of medium and high-tech manufacturing value added in total value added [9.b.1],,Percent,2023,,23.7
