Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2014,_L_KE_100C01_01,,Percent,Normal value,Units,,6.4
2015,_L_KE_100C01_01,,Percent,Normal value,Units,,6.0
2016,_L_KE_100C01_01,,Percent,Normal value,Units,,8.5
2017,_L_KE_100C01_01,,Percent,Normal value,Units,,8.3
2018,_L_KE_100C01_01,,Percent,Normal value,Units,,8.2
2019,_L_KE_100C01_01,,Percent,Normal value,Units,,8.4
2020,_L_KE_100C01_01,,Percent,Normal value,Units,,8.4
2021,_L_KE_100C01_01,,Percent,Normal value,Units,,9.1
2022,_L_KE_100C01_01,,Percent,Normal value,Units,,8.0
2023,_L_KE_100C01_01,,Percent,Normal value,Units,,8.3
2024,_L_KE_100C01_01,,Percent,Normal value,Units,,10.6
