Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Suicide mortality rate [3.4.2],,"Per 100,000 population",,7.0
2015,Suicide mortality rate [3.4.2],,"Per 100,000 population",,5.0
2016,Suicide mortality rate [3.4.2],,"Per 100,000 population",,7.0
2017,Suicide mortality rate [3.4.2],,"Per 100,000 population",,9.0
2018,Suicide mortality rate [3.4.2],,"Per 100,000 population",,2.0
2019,Suicide mortality rate [3.4.2],,"Per 100,000 population",,8.0
2020,Suicide mortality rate [3.4.2],,"Per 100,000 population",,6.8
2021,Suicide mortality rate [3.4.2],,"Per 100,000 population",,5.8
2022,Suicide mortality rate [3.4.2],,"Per 100,000 population",,6.5
2023,Suicide mortality rate [3.4.2],,"Per 100,000 population",,8.2
2024,Suicide mortality rate [3.4.2],,"Per 100,000 population",,5.8
