Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2018,A,6,_L_KE_150a01_01,,KES,2022,,197.32099
2019,A,6,_L_KE_150a01_01,,KES,2022,,395.016
2020,A,6,_L_KE_150a01_01,,KES,2022,,269.0
2021,A,6,_L_KE_150a01_01,,KES,2022,,208.0
2022,A,6,_L_KE_150a01_01,,KES,2022,,300.0
