Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,Employment excludes small scale farming and pastoralist activities.,Economic Survey,SL_EMP_PCAP,,PT,2023,,-0.6
2015,A,0,Employment excludes small scale farming and pastoralist activities.,Economic Survey,SL_EMP_PCAP,,PT,2023,,2.7
2016,A,0,Employment excludes small scale farming and pastoralist activities.,Economic Survey,SL_EMP_PCAP,,PT,2023,,0.4
2017,A,0,Employment excludes small scale farming and pastoralist activities.,Economic Survey,SL_EMP_PCAP,,PT,2023,,-1.0
2018,A,0,Employment excludes small scale farming and pastoralist activities.,Economic Survey,SL_EMP_PCAP,,PT,2023,,1.3
2019,A,0,Employment excludes small scale farming and pastoralist activities.,Economic Survey,SL_EMP_PCAP,,PT,2023,,0.2
2020,A,0,Employment excludes small scale farming and pastoralist activities.,Economic Survey,SL_EMP_PCAP,,PT,2023,,3.9
2021,A,0,Employment excludes small scale farming and pastoralist activities.,Economic Survey,SL_EMP_PCAP,,PT,2023,,2.2
2022,A,0,Employment excludes small scale farming and pastoralist activities.,Economic Survey,SL_EMP_PCAP,,PT,2023,,0.4
2023,A,0,Employment excludes small scale farming and pastoralist activities.,Economic Survey,SL_EMP_PCAP,,PT,2023,,1.1
