Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,_L_KE_060a01_01,,USD,,204.8
2015,_L_KE_060a01_01,,USD,,172.6
2016,_L_KE_060a01_01,,USD,,220.5
2017,_L_KE_060a01_01,,USD,,244.3
2018,_L_KE_060a01_01,,USD,,295.3
2019,_L_KE_060a01_01,,USD,,217.2
2020,_L_KE_060a01_01,,USD,,206.9
2021,_L_KE_060a01_01,,USD,,247.1
2023,_L_KE_060a01_01,,USD,,261.0
