Year,SERIES,Value
2014,SH_ACS_DTP3,74.9
2015,SH_ACS_DTP3,79.5
2016,SH_ACS_DTP3,78.3
2017,SH_ACS_DTP3,68.4
2018,SH_ACS_DTP3,81.6
2022,SH_ACS_DTP3,89.2
2022,SH_ACS_MCV2,66.8
2022,SH_ACS_PCV3,91.2
2014,SH_ACS_VACN,79.4
2022,SH_ACS_VACN,80.1
