Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,_L_KE_060101_01,,,PT,A,0,,63.0
2016,_L_KE_060101_01,,,PT,A,0,,55.9
2022,_L_KE_060101_01,,,PT,A,0,,64.3
2024,_L_KE_060101_01,,,PT,A,0,,76.6
2014,_L_KE_060101_01,,R,PT,A,0,,49.9
2016,_L_KE_060101_01,,R,PT,A,0,,51.2
2022,_L_KE_060101_01,,R,PT,A,0,,58.7
2024,_L_KE_060101_01,,R,PT,A,0,,64.1
2014,_L_KE_060101_01,,U,PT,A,0,,81.2
2016,_L_KE_060101_01,,U,PT,A,0,,61.9
2022,_L_KE_060101_01,,U,PT,A,0,,72.7
2024,_L_KE_060101_01,,U,PT,A,0,,92.4
2014,SH_H2O_SAFE,,,PT,A,0,,60.3
2016,SH_H2O_SAFE,,,PT,A,0,,52.4
2022,SH_H2O_SAFE,,,PT,A,0,,67.9
2024,SH_H2O_SAFE,,,PT,A,0,,74.7
2014,SH_H2O_SAFE,,R,PT,A,0,,48.1
2016,SH_H2O_SAFE,,R,PT,A,0,,48.6
2022,SH_H2O_SAFE,,R,PT,A,0,,56.3
2024,SH_H2O_SAFE,,R,PT,A,0,,64.4
2014,SH_H2O_SAFE,,U,PT,A,0,,78.0
2016,SH_H2O_SAFE,,U,PT,A,0,,60.0
2022,SH_H2O_SAFE,,U,PT,A,0,,90.6
2024,SH_H2O_SAFE,,U,PT,A,0,,96.5
