Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2017,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,Normal value,Units,KE_KIS,30.0
2018,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,Normal value,Units,KE_KIS,30.0
2019,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,Normal value,Units,KE_KIS,30.0
2020,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,Normal value,Units,KE_KIS,30.0
2021,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,Normal value,Units,KE_KIS,30.0
2022,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,Normal value,Units,KE_KIS,30.1
2023,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,Normal value,Units,KE_KIS,30.0
2024,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Kisumu,City,Percent,Normal value,Units,KE_KIS,29.3
2017,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,Normal value,Units,KE_MBA,25.1
2018,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,Normal value,Units,KE_MBA,56.0
2019,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,Normal value,Units,KE_MBA,46.1
2020,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,Normal value,Units,KE_MBA,46.0
2021,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,Normal value,Units,KE_MBA,56.5
2022,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,Normal value,Units,KE_MBA,65.0
2023,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,Normal value,Units,KE_MBA,58.3
2024,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Mombasa,City,Percent,Normal value,Units,KE_MBA,62.1
2014,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,Normal value,Units,KE_NBO,44.0
2016,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,Normal value,Units,KE_NBO,56.6
2017,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,Normal value,Units,KE_NBO,53.6
2018,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,Normal value,Units,KE_NBO,57.4
2019,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,Normal value,Units,KE_NBO,75.2
2020,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,Normal value,Units,KE_NBO,75.2
2021,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,Normal value,Units,KE_NBO,76.7
2022,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,Normal value,Units,KE_NBO,74.3
2023,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,Normal value,Units,KE_NBO,86.0
2024,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nairobi,City,Percent,Normal value,Units,KE_NBO,44.7
2022,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nakuru,City,Percent,Normal value,Units,KE_NUU,60.0
2023,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nakuru,City,Percent,Normal value,Units,KE_NUU,60.0
2024,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",Nakuru,City,Percent,Normal value,Units,KE_NUU,59.3
