Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2020,A,0,MWIS/UN WATER,EN_WWT_TREATR_SF,,WW_DOM,PT,2022,,9.4
2022,A,0,MWIS/UN WATER,EN_WWT_TREATR_SF,,WW_DOM,PT,2022,,11.0
2020,A,0,MWIS/UN WATER,EN_WWT_TREATR_SF,,WW_DOM_SEW,PT,2022,,53.3
2022,A,0,MWIS/UN WATER,EN_WWT_TREATR_SF,,WW_DOM_SEW,PT,2022,,50.0
2022,A,0,MWIS/UN WATER,EN_WWT_TREATR_SF,,WW_DOM_SPT,PT,2022,,39.1
