Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2018,Normal value,Millions,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [7.a.1]",,Kenyan Shillings,2022,,2330
2019,Normal value,Millions,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [7.a.1]",,Kenyan Shillings,2022,,1348
2020,Normal value,Millions,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [7.a.1]",,Kenyan Shillings,2022,,380
2021,Normal value,Millions,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [7.a.1]",,Kenyan Shillings,2022,,2700
2022,Normal value,Millions,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems [7.a.1]",,Kenyan Shillings,2022,,5400
