Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,SH_HIV_INCD,,,PER_1000_UNINFECTED_POP,A,0,2019,,5.0
2018,SH_HIV_INCD,,,PER_1000_UNINFECTED_POP,A,0,2019,,1.4
2019,SH_HIV_INCD,,,PER_1000_UNINFECTED_POP,A,0,2019,,1.2
2014,SH_HIV_INCD,,F,PER_1000_UNINFECTED_POP,A,0,2018,,5.0
2018,SH_HIV_INCD,,F,PER_1000_UNINFECTED_POP,A,0,2018,,1.5
2014,SH_HIV_INCD,,M,PER_1000_UNINFECTED_POP,A,0,2018,,5.0
2018,SH_HIV_INCD,,M,PER_1000_UNINFECTED_POP,A,0,2018,,1.3
