Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,Total installed capacity minus thermal = renewable energy,Economic Survey,EG_EGY_RNEW,,W_PER_CAPITA,2023,,33.6
2015,A,0,Total installed capacity minus thermal = renewable energy,Economic Survey,EG_EGY_RNEW,,W_PER_CAPITA,2023,,33.9
2016,A,0,Total installed capacity minus thermal = renewable energy,Economic Survey,EG_EGY_RNEW,,W_PER_CAPITA,2023,,33.6
2017,A,0,Total installed capacity minus thermal = renewable energy,Economic Survey,EG_EGY_RNEW,,W_PER_CAPITA,2023,,33.8
2018,A,0,Total installed capacity minus thermal = renewable energy,Economic Survey,EG_EGY_RNEW,,W_PER_CAPITA,2023,,41.0
2019,A,0,Total installed capacity minus thermal = renewable energy,Economic Survey,EG_EGY_RNEW,,W_PER_CAPITA,2023,,43.5
2020,A,0,Total installed capacity minus thermal = renewable energy,Economic Survey,EG_EGY_RNEW,,W_PER_CAPITA,2023,,43.0
2021,A,0,Total installed capacity minus thermal = renewable energy,Economic Survey,EG_EGY_RNEW,,W_PER_CAPITA,2023,,46.8
2022,A,0,Total installed capacity minus thermal = renewable energy,Economic Survey,EG_EGY_RNEW,,W_PER_CAPITA,2023,,52.1
2023,A,0,Total installed capacity minus thermal = renewable energy,Economic Survey,EG_EGY_RNEW,,W_PER_CAPITA,2023,,51.1
