Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2015,A,0,AG_LND_DGRD,,PT,2022,,9.8
2017,A,0,AG_LND_DGRD,,PT,2022,,11.4
2018,A,0,AG_LND_DGRD,,PT,2022,,11.4
2019,A,0,AG_LND_DGRD,,PT,2022,,19.4
2020,A,0,AG_LND_DGRD,,PT,2022,,11.4
2021,A,0,AG_LND_DGRD,,PT,2022,,11.4
2022,A,0,AG_LND_DGRD,,PT,2022,,11.4
