Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Proportion of population using basic drinking water services [1.4.1],,Percent,,60.3
2022,Proportion of population using basic drinking water services [1.4.1],,Percent,,67.9
2024,Proportion of population using basic drinking water services [1.4.1],,Percent,,76.6
2014,Proportion of population using basic sanitation services [1.4.1],,Percent,,24.7
2022,Proportion of population using basic sanitation services [1.4.1],,Percent,,40.9
2024,Proportion of population using basic sanitation services [1.4.1],,Percent,,71.0
2014,Proportion of population using basic hygiene services,,Percent,,16.6
2022,Proportion of population using basic hygiene services,,Percent,,51.3
2024,Proportion of population using basic hygiene services,,Percent,,24.2
2016,Proportion of population with access to electricity,,Percent,,33.8
2022,Proportion of population with access to electricity,,Percent,,49.6
2024,Proportion of population with access to electricity,,Percent,,65.5
2014,Proportion of population using clean fuels and technologies,,Percent,,11.9
2016,Proportion of population using clean fuels and technologies,,Percent,,14.6
2018,Proportion of population using clean fuels and technologies,,Percent,,19.8
2019,Proportion of population using clean fuels and technologies,,Percent,,25.4
2020,Proportion of population using clean fuels and technologies,,Percent,,23.1
2021,Proportion of population using clean fuels and technologies,,Percent,,27.2
2022,Proportion of population using clean fuels and technologies,,Percent,,21.2
2024,Proportion of population using clean fuels and technologies,,Percent,,34.4
