Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,SH_DYN_NMRT,,,,PER_1000_LIVE_BIRTHS,A,0,,22
2022,SH_DYN_NMRT,,,,PER_1000_LIVE_BIRTHS,A,0,,21
2014,SH_DYN_NMRT,,,R,PER_1000_LIVE_BIRTHS,A,0,,21
2022,SH_DYN_NMRT,,,R,PER_1000_LIVE_BIRTHS,A,0,,22
2014,SH_DYN_NMRT,,,U,PER_1000_LIVE_BIRTHS,A,0,,26
2022,SH_DYN_NMRT,,,U,PER_1000_LIVE_BIRTHS,A,0,,21
2022,SH_DYN_NMRT,,F,,PER_1000_LIVE_BIRTHS,A,0,,19
2022,SH_DYN_NMRT,,M,,PER_1000_LIVE_BIRTHS,A,0,,24
