Year,SERIES,Reference area,UNIT_MEASURE,Observation status,Unit multiplier,GeoCode,Value
2019,Floating plastic debris density (count per km2) [14.1.1],,Square kilometers,Normal value,Units,,17698
2020,Floating plastic debris density (count per km2) [14.1.1],,Square kilometers,Normal value,Units,,2092
2021,Floating plastic debris density (count per km2) [14.1.1],,Square kilometers,Normal value,Units,,35360
2022,Floating plastic debris density (count per km2) [14.1.1],,Square kilometers,Normal value,Units,,5272
