From,To
SOURCE_DETAIL,EDUCATION_LEV
COMPOSITE_BREAKDOWN,SEX
COMPOSITE_BREAKDOWN,URBANISATION
EDUCATION_LEV,COMPOSITE_BREAKDOWN
