Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2020,Proportion of children engaged in economic activity and household chores [8.7.1],,Male,,,Percent,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,16.2
2021,Proportion of children engaged in economic activity and household chores [8.7.1],,Male,,,Percent,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,4.8
2022,Proportion of children engaged in economic activity and household chores [8.7.1],,Male,,,Percent,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,3.6
2014,Number of children engaged in economic activity and household chores [8.7.1],,,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,4552.3
2016,Number of children engaged in economic activity and household chores [8.7.1],,,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,2074.3
2019,Number of children engaged in economic activity and household chores [8.7.1],,,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,2693.2
2020,Number of children engaged in economic activity and household chores [8.7.1],,,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,2276.8
2021,Number of children engaged in economic activity and household chores [8.7.1],,,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,640.5
2022,Number of children engaged in economic activity and household chores [8.7.1],,,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,517.4
2022,Number of children engaged in economic activity and household chores [8.7.1],,,,Rural,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,414.3
2022,Number of children engaged in economic activity and household chores [8.7.1],,,,Urban,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,103.1
2014,Number of children engaged in economic activity and household chores [8.7.1],,Female,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,2200.6
2016,Number of children engaged in economic activity and household chores [8.7.1],,Female,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,894.8
2019,Number of children engaged in economic activity and household chores [8.7.1],,Female,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,1190.3
2020,Number of children engaged in economic activity and household chores [8.7.1],,Female,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,945.0
2021,Number of children engaged in economic activity and household chores [8.7.1],,Female,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,237.7
2022,Number of children engaged in economic activity and household chores [8.7.1],,Female,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,216.1
2014,Number of children engaged in economic activity and household chores [8.7.1],,Male,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,2351.7
2016,Number of children engaged in economic activity and household chores [8.7.1],,Male,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,1179.5
2019,Number of children engaged in economic activity and household chores [8.7.1],,Male,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,1503.0
2020,Number of children engaged in economic activity and household chores [8.7.1],,Male,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,1331.7
2021,Number of children engaged in economic activity and household chores [8.7.1],,Male,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,402.8
2022,Number of children engaged in economic activity and household chores [8.7.1],,Male,,,Number,Normal value,Units,2022,Refers to working children,"2014:  KDHS               2016:  KIHBS                  2019:  KPHC , 2020:  KCHS, 2021:  KCHS, 2022:  KCHS",,301.3
