From,To
SOURCE_DETAIL,SEX
SOURCE_DETAIL,AGE
SOURCE_DETAIL,URBANISATION
OBS_STATUS,UNIT_MULT
UNIT_MULT,TIME_DETAIL
TIME_DETAIL,SOURCE_DETAIL
