From,To
COMMENT_OBS,SEX
COMMENT_OBS,AGE
COMMENT_OBS,URBANISATION
OBS_STATUS,UNIT_MULT
UNIT_MULT,TIME_DETAIL
TIME_DETAIL,COMMENT_OBS
