From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,SOURCE_DETAIL
TIME_DETAIL,COMMENT_OBS
SOURCE_DETAIL,SEX
SEX,TIME_DETAIL
TIME_DETAIL,AGE
TIME_DETAIL,URBANISATION
