From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,EDUCATION_LEV
SOURCE_DETAIL,COMMENT_OBS
TIME_DETAIL,SOURCE_DETAIL
EDUCATION_LEV,TIME_DETAIL
