Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2022,SE_ADT_FUNS,,F,Y15T24,PT,A,0,2022,,95.3
2022,SE_ADT_FUNS,,F,Y15T49,PT,A,0,2022,,91.0
2022,SE_ADT_FUNS,,M,Y15T24,PT,A,0,2022,,96.3
2022,SE_ADT_FUNS,,M,Y15T49,PT,A,0,2022,,93.9
