Year,SERIES,Reference area,Sex,UNIT_MEASURE,Observation status,Unit multiplier,Time period details,SOURCE_DETAIL,GeoCode,Value
2014,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,Percent,Normal value,Units,2022,2014: KDHS                  2018: PMA                    2022: KDHS,,4.4
2018,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,Percent,Normal value,Units,2022,2014: KDHS                  2018: PMA                    2022: KDHS,,2.6
2022,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,Percent,Normal value,Units,2022,2014: KDHS                  2018: PMA                    2022: KDHS,,2.2
2014,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,Percent,Normal value,Units,2022,2014: KDHS                  2018: PMA                    2022: KDHS,,22.9
2018,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,Percent,Normal value,Units,2022,2014: KDHS                  2018: PMA                    2022: KDHS,,14.3
2022,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,Percent,Normal value,Units,2022,2014: KDHS                  2018: PMA                    2022: KDHS,,12.5
