Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2014,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,,Percent,,22.6
2022,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,,Percent,,16.0
2014,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Rural,Percent,,23.2
2022,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Rural,Percent,,17.5
2014,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Urban,Percent,,21.8
2022,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Urban,Percent,,13.8
2014,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,15 to 19 years old,,Percent,,16.4
2022,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,15 to 19 years old,,Percent,,9.6
2014,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,20 to 24 years old,,Percent,,23.0
2022,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,20 to 24 years old,,Percent,,16.0
2014,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,25 to 29 years old,,Percent,,25.3
2022,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,25 to 29 years old,,Percent,,18.2
2014,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,30 to 34 years old,,Percent,,22.9
2022,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,30 to 34 years old,,Percent,,17.9
2014,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,35 to 39 years old,,Percent,,22.2
2022,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,35 to 39 years old,,Percent,,17.9
2014,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,40 to 44 years old,,Percent,,8.6
2022,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,40 to 44 years old,,Percent,,13.6
2014,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,45 to 49 years old,,Percent,,20.8
