Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,GeoCode,Value
2014,SL_ISV_IFEM,,PT,A,0,2023,Economic Survey,,84.7
2015,SL_ISV_IFEM,,PT,A,0,2023,Economic Survey,,81.6
2016,SL_ISV_IFEM,,PT,A,0,2023,Economic Survey,,81.9
2017,SL_ISV_IFEM,,PT,A,0,2023,Economic Survey,,82.2
2018,SL_ISV_IFEM,,PT,A,0,2023,Economic Survey,,82.6
2019,SL_ISV_IFEM,,PT,A,0,2023,Economic Survey,,83.0
2020,SL_ISV_IFEM,,PT,A,0,2023,Economic Survey,,83.4
2021,SL_ISV_IFEM,,PT,A,0,2023,Economic Survey,,83.3
2022,SL_ISV_IFEM,,PT,A,0,2023,Economic Survey,,83.4
2023,SL_ISV_IFEM,,PT,A,0,2023,Economic Survey,,85.0
