Year,Observation status,Unit multiplier,SOURCE_DETAIL,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,Green Economy Strategy and Implementation Plan (GESIP 2016-2030),Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,2023,,0
2015,Normal value,Units,Green Economy Strategy and Implementation Plan (GESIP 2016-2030),Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,2023,,0
2016,Normal value,Units,Green Economy Strategy and Implementation Plan (GESIP 2016-2030),Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,2023,,1
2017,Normal value,Units,Green Economy Strategy and Implementation Plan (GESIP 2016-2030),Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,2023,,1
2018,Normal value,Units,Green Economy Strategy and Implementation Plan (GESIP 2016-2030),Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,2023,,1
2019,Normal value,Units,Green Economy Strategy and Implementation Plan (GESIP 2016-2030),Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,2023,,1
2020,Normal value,Units,Green Economy Strategy and Implementation Plan (GESIP 2016-2030),Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,2023,,1
2021,Normal value,Units,Green Economy Strategy and Implementation Plan (GESIP 2016-2030),Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,2023,,1
2022,Normal value,Units,Green Economy Strategy and Implementation Plan (GESIP 2016-2030),Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,2023,,1
2023,Normal value,Units,Green Economy Strategy and Implementation Plan (GESIP 2016-2030),Countries with coordination mechanism for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],,Boolean or binary measure,2023,,1
