Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2016,SL_TLF_NEET,,,,PT,,18.6
2019,SL_TLF_NEET,,,,PT,,20.2
2020,SL_TLF_NEET,,,,PT,,21.6
2021,SL_TLF_NEET,,,,PT,,18.1
2022,SL_TLF_NEET,,,,PT,,19.9
2024,SL_TLF_NEET,,,,PT,,20.6
2019,SL_TLF_NEET,,,R,PT,,15.3
2020,SL_TLF_NEET,,,R,PT,,16.5
2021,SL_TLF_NEET,,,R,PT,,14.8
2022,SL_TLF_NEET,,,R,PT,,17.7
2024,SL_TLF_NEET,,,R,PT,,17.8
2019,SL_TLF_NEET,,,U,PT,,29.1
2020,SL_TLF_NEET,,,U,PT,,32.6
2021,SL_TLF_NEET,,,U,PT,,25.1
2022,SL_TLF_NEET,,,U,PT,,24.6
2024,SL_TLF_NEET,,,U,PT,,26.7
2019,SL_TLF_NEET,,F,,PT,,24.1
2020,SL_TLF_NEET,,F,,PT,,26.3
2021,SL_TLF_NEET,,F,,PT,,26.2
2022,SL_TLF_NEET,,F,,PT,,24.9
2024,SL_TLF_NEET,,F,,PT,,24.8
2019,SL_TLF_NEET,,M,,PT,,16.2
2020,SL_TLF_NEET,,M,,PT,,16.8
2021,SL_TLF_NEET,,M,,PT,,9.8
2022,SL_TLF_NEET,,M,,PT,,14.8
2024,SL_TLF_NEET,,M,,PT,,16.3
