Year,Observation status,Unit multiplier,Observation-level footnotes,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,Early Childhood Development (ECD) Net Enrolment Ratios (36 - 59 months),Economic Survey       Basic Statistical Booklets                2019: KPHC               2022: KDHS,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,2022,,71.8
2015,Normal value,Units,Early Childhood Development (ECD) Net Enrolment Ratios (36 - 59 months),Economic Survey       Basic Statistical Booklets                2019: KPHC               2022: KDHS,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,2022,,74.6
2016,Normal value,Units,Early Childhood Development (ECD) Net Enrolment Ratios (36 - 59 months),Economic Survey       Basic Statistical Booklets                2019: KPHC               2022: KDHS,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,2022,,74.9
2017,Normal value,Units,Early Childhood Development (ECD) Net Enrolment Ratios (36 - 59 months),Economic Survey       Basic Statistical Booklets                2019: KPHC               2022: KDHS,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,2022,,76.9
2018,Normal value,Units,Early Childhood Development (ECD) Net Enrolment Ratios (36 - 59 months),Economic Survey       Basic Statistical Booklets                2019: KPHC               2022: KDHS,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,2022,,77.2
2019,Normal value,Units,Early Childhood Development (ECD) Net Enrolment Ratios (36 - 59 months),Economic Survey       Basic Statistical Booklets                2019: KPHC               2022: KDHS,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,2022,,73.8
2022,Normal value,Units,Early Childhood Development (ECD) Net Enrolment Ratios (36 - 59 months),Economic Survey       Basic Statistical Booklets                2019: KPHC               2022: KDHS,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,,Percent,2022,,87.9
2019,Normal value,Units,Early Childhood Development (ECD) Net Enrolment Ratios (36 - 59 months),Economic Survey       Basic Statistical Booklets                2019: KPHC               2022: KDHS,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,Rural,Percent,2019,,70.9
2019,Normal value,Units,Early Childhood Development (ECD) Net Enrolment Ratios (36 - 59 months),Economic Survey       Basic Statistical Booklets                2019: KPHC               2022: KDHS,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,,Urban,Percent,2019,,81.9
2019,Normal value,Units,Early Childhood Development (ECD) Net Enrolment Ratios (36 - 59 months),Economic Survey       Basic Statistical Booklets                2019: KPHC               2022: KDHS,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Female,,Percent,2022,,73.8
2022,Normal value,Units,Early Childhood Development (ECD) Net Enrolment Ratios (36 - 59 months),Economic Survey       Basic Statistical Booklets                2019: KPHC               2022: KDHS,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Female,,Percent,2022,,88.8
2019,Normal value,Units,Early Childhood Development (ECD) Net Enrolment Ratios (36 - 59 months),Economic Survey       Basic Statistical Booklets                2019: KPHC               2022: KDHS,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Male,,Percent,2022,,73.9
2022,Normal value,Units,Early Childhood Development (ECD) Net Enrolment Ratios (36 - 59 months),Economic Survey       Basic Statistical Booklets                2019: KPHC               2022: KDHS,Participation rate in organized learning (one year before the official primary entry age) [4.2.2],,Male,,Percent,2022,,86.9
