Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2018,DC_TOF_HLTHNT,,KES,A,6,,17956
2019,DC_TOF_HLTHNT,,KES,A,6,,17956
2020,DC_TOF_HLTHNT,,KES,A,6,,23683
2021,DC_TOF_HLTHNT,,KES,A,6,,15249
2022,DC_TOF_HLTHNT,,KES,A,6,,24203
2023,DC_TOF_HLTHNT,,KES,A,6,,21459
2024,DC_TOF_HLTHNT,,KES,A,6,,17120
