Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,_L_KE_130201_01,,BOOL,A,0,2024,,1
2015,_L_KE_130201_01,,BOOL,A,0,2024,,1
2016,_L_KE_130201_01,,BOOL,A,0,2024,,1
2017,_L_KE_130201_01,,BOOL,A,0,2024,,1
2018,_L_KE_130201_01,,BOOL,A,0,2024,,1
2019,_L_KE_130201_01,,BOOL,A,0,2024,,1
2020,_L_KE_130201_01,,BOOL,A,0,2024,,1
2021,_L_KE_130201_01,,BOOL,A,0,2024,,1
2022,_L_KE_130201_01,,BOOL,A,0,2024,,1
2023,_L_KE_130201_01,,BOOL,A,0,2024,,1
2024,_L_KE_130201_01,,BOOL,A,0,2024,,1
