Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,Annual External debt service,Economic Survey,DT_TDS_DECT,,PT,2023,,10.3
2015,A,0,Annual External debt service,Economic Survey,DT_TDS_DECT,,PT,2023,,6.2
2016,A,0,Annual External debt service,Economic Survey,DT_TDS_DECT,,PT,2023,,8.4
2017,A,0,Annual External debt service,Economic Survey,DT_TDS_DECT,,PT,2023,,11.4
2018,A,0,Annual External debt service,Economic Survey,DT_TDS_DECT,,PT,2023,,18.9
2019,A,0,Annual External debt service,Economic Survey,DT_TDS_DECT,,PT,2023,,34.5
2020,A,0,Annual External debt service,Economic Survey,DT_TDS_DECT,,PT,2023,,25.2
2021,A,0,Annual External debt service,Economic Survey,DT_TDS_DECT,,PT,2023,,17.9
2022,A,0,Annual External debt service,Economic Survey,DT_TDS_DECT,,PT,2023,,21.1
2023,A,0,Annual External debt service,Economic Survey,DT_TDS_DECT,,PT,2023,,26.0
