Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,GF_XPD_GBPC,,PT,,93.2
2016,GF_XPD_GBPC,,PT,,90.3
2017,GF_XPD_GBPC,,PT,,91.5
2018,GF_XPD_GBPC,,PT,,92.7
2019,GF_XPD_GBPC,,PT,,118.0
2020,GF_XPD_GBPC,,PT,,89.9
2021,GF_XPD_GBPC,,PT,,112.0
2022,GF_XPD_GBPC,,PT,,103.6
2023,GF_XPD_GBPC,,PT,,106.8
2024,GF_XPD_GBPC,,PT,,113.0
2015,_L_KE_160601_01,,PT,,97.9
2016,_L_KE_160601_01,,PT,,98.8
2017,_L_KE_160601_01,,PT,,95.5
2018,_L_KE_160601_01,,PT,,98.9
2019,_L_KE_160601_01,,PT,,121.9
2020,_L_KE_160601_01,,PT,,86.7
2021,_L_KE_160601_01,,PT,,121.7
2022,_L_KE_160601_01,,PT,,112.5
2023,_L_KE_160601_01,,PT,,119.6
2024,_L_KE_160601_01,,PT,,115.0
2015,_L_KE_160601_02,,PT,,83.6
2016,_L_KE_160601_02,,PT,,70.7
2017,_L_KE_160601_02,,PT,,82.2
2018,_L_KE_160601_02,,PT,,73.4
2019,_L_KE_160601_02,,PT,,104.4
2020,_L_KE_160601_02,,PT,,102.2
2021,_L_KE_160601_02,,PT,,86.3
2022,_L_KE_160601_02,,PT,,73.7
2023,_L_KE_160601_02,,PT,,63.8
2024,_L_KE_160601_02,,PT,,100.0
