Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,,10.3
2015,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,,6.2
2016,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,,8.4
2017,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,,11.4
2018,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,,18.9
2019,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,,34.5
2020,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,,25.2
2021,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,,17.9
2022,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,,21.1
2023,Debt service as a proportion of exports of goods and services [17.4.1],,Percent,,26.0
