Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,_L_KE_171301_01,,PT,A,0,,2.3
2015,_L_KE_171301_01,,PT,A,0,,2.4
2016,_L_KE_171301_01,,PT,A,0,,2.5
2017,_L_KE_171301_01,,PT,A,0,,2.4
2018,_L_KE_171301_01,,PT,A,0,,3.0
2019,_L_KE_171301_01,,PT,A,0,,2.8
2020,_L_KE_171301_01,,PT,A,0,,3.1
2021,_L_KE_171301_01,,PT,A,0,,3.4
2022,_L_KE_171301_01,,PT,A,0,,3.6
2023,_L_KE_171301_01,,PT,A,0,,3.9
2024,_L_KE_171301_01,,PT,A,0,,4.2
2014,_L_KE_171301_02,,PT,A,0,,15.2
2015,_L_KE_171301_02,,PT,A,0,,6.8
2016,_L_KE_171301_02,,PT,A,0,,9.0
2017,_L_KE_171301_02,,PT,A,0,,12.3
2018,_L_KE_171301_02,,PT,A,0,,19.8
2019,_L_KE_171301_02,,PT,A,0,,41.7
2020,_L_KE_171301_02,,PT,A,0,,23.8
2021,_L_KE_171301_02,,PT,A,0,,17.5
2022,_L_KE_171301_02,,PT,A,0,,18.4
2023,_L_KE_171301_02,,PT,A,0,,20.5
2024,_L_KE_171301_02,,PT,A,0,,30.6
2014,_L_KE_171301_03,,KES_TO_USD,A,0,,87.9
2015,_L_KE_171301_03,,KES_TO_USD,A,0,,98.7
2016,_L_KE_171301_03,,KES_TO_USD,A,0,,101.5
2017,_L_KE_171301_03,,KES_TO_USD,A,0,,103.4
2018,_L_KE_171301_03,,KES_TO_USD,A,0,,101.3
2019,_L_KE_171301_03,,KES_TO_USD,A,0,,102.1
2020,_L_KE_171301_03,,KES_TO_USD,A,0,,106.6
2021,_L_KE_171301_03,,KES_TO_USD,A,0,,109.9
2022,_L_KE_171301_03,,KES_TO_USD,A,0,,117.9
2023,_L_KE_171301_03,,KES_TO_USD,A,0,,139.9
2024,_L_KE_171301_03,,KES_TO_USD,A,0,,134.8
2014,_L_KE_171301_04,,IX,A,0,,73.1
2015,_L_KE_171301_04,,IX,A,0,,76.0
2016,_L_KE_171301_04,,IX,A,0,,78.8
2017,_L_KE_171301_04,,IX,A,0,,75.5
2018,_L_KE_171301_04,,IX,A,0,,68.0
2019,_L_KE_171301_04,,IX,A,0,,68.0
2020,_L_KE_171301_04,,IX,A,0,,74.9
2021,_L_KE_171301_04,,IX,A,0,,73.3
2022,_L_KE_171301_04,,IX,A,0,,75.3
2023,_L_KE_171301_04,,IX,A,0,,71.4
2024,_L_KE_171301_04,,IX,A,0,,67.9
2015,_L_KE_171301_05,,PT,A,0,,6.8
2016,_L_KE_171301_05,,PT,A,0,,9.1
2017,_L_KE_171301_05,,PT,A,0,,10.6
2018,_L_KE_171301_05,,PT,A,0,,12.0
2019,_L_KE_171301_05,,PT,A,0,,12.0
2020,_L_KE_171301_05,,PT,A,0,,11.5
2021,_L_KE_171301_05,,PT,A,0,,14.3
2022,_L_KE_171301_05,,PT,A,0,,13.8
2023,_L_KE_171301_05,,PT,A,0,,12.3
2024,_L_KE_171301_05,,PT,A,0,,16.2
2014,_L_KE_171301_06,,PT,A,0,,-5.1
2015,_L_KE_171301_06,,PT,A,0,,-7.8
2016,_L_KE_171301_06,,PT,A,0,,-6.4
2017,_L_KE_171301_06,,PT,A,0,,-6.8
2018,_L_KE_171301_06,,PT,A,0,,-7.1
2019,_L_KE_171301_06,,PT,A,0,,-7.1
2020,_L_KE_171301_06,,PT,A,0,,-7.6
2021,_L_KE_171301_06,,PT,A,0,,-8.4
2022,_L_KE_171301_06,,PT,A,0,,-6.3
2023,_L_KE_171301_06,,PT,A,0,,-5.6
2024,_L_KE_171301_06,,PT,A,0,,-5.3
2014,_L_KE_171301_07,,IX,A,0,,73.1
2015,_L_KE_171301_07,,IX,A,0,,76.0
2016,_L_KE_171301_07,,IX,A,0,,78.8
2017,_L_KE_171301_07,,IX,A,0,,75.5
2018,_L_KE_171301_07,,IX,A,0,,68.0
2019,_L_KE_171301_07,,IX,A,0,,68.0
2020,_L_KE_171301_07,,IX,A,0,,74.9
2021,_L_KE_171301_07,,IX,A,0,,73.3
2022,_L_KE_171301_07,,IX,A,0,,75.3
2023,_L_KE_171301_07,,IX,A,0,,71.4
2024,_L_KE_171301_07,,IX,A,0,,67.9
2014,_L_KE_171301_08,,PT,A,0,,9.7
2016,_L_KE_171301_08,,PT,A,0,,7.4
2019,_L_KE_171301_08,,PT,A,0,,13.7
2020,_L_KE_171301_08,,PT,A,0,,7.2
2021,_L_KE_171301_08,,PT,A,0,,6.1
2022,_L_KE_171301_08,,PT,A,0,,5.8
2024,_L_KE_171301_08,,PT,A,0,,9.1
2014,_L_KE_171301_09,,MO,A,0,,5.0
2015,_L_KE_171301_09,,MO,A,0,,4.8
2016,_L_KE_171301_09,,MO,A,0,,5.0
2017,_L_KE_171301_09,,MO,A,0,,5.0
2018,_L_KE_171301_09,,MO,A,0,,5.3
2019,_L_KE_171301_09,,MO,A,0,,5.5
2020,_L_KE_171301_09,,MO,A,0,,4.9
2021,_L_KE_171301_09,,MO,A,0,,5.2
2022,_L_KE_171301_09,,MO,A,0,,4.0
2023,_L_KE_171301_09,,MO,A,0,,3.4
2024,_L_KE_171301_09,,MO,A,0,,4.4
2014,BN_CAB_XOKA_GD_ZS,,PT,A,0,,-10.4
2015,BN_CAB_XOKA_GD_ZS,,PT,A,0,,-6.9
2016,BN_CAB_XOKA_GD_ZS,,PT,A,0,,-5.8
2017,BN_CAB_XOKA_GD_ZS,,PT,A,0,,-7.0
2018,BN_CAB_XOKA_GD_ZS,,PT,A,0,,-5.4
2019,BN_CAB_XOKA_GD_ZS,,PT,A,0,,-5.2
2020,BN_CAB_XOKA_GD_ZS,,PT,A,0,,-3.3
2021,BN_CAB_XOKA_GD_ZS,,PT,A,0,,-4.6
2022,BN_CAB_XOKA_GD_ZS,,PT,A,0,,-4.2
2023,BN_CAB_XOKA_GD_ZS,,PT,A,0,,-2.5
2024,BN_CAB_XOKA_GD_ZS,,PT,A,0,,-1.3
2014,BN_KLT_PTXL_CD,,USD,A,0,,-3716.9
2015,BN_KLT_PTXL_CD,,USD,A,0,,155.1
2016,BN_KLT_PTXL_CD,,USD,A,0,,377.5
2017,BN_KLT_PTXL_CD,,USD,A,0,,731.1
2018,BN_KLT_PTXL_CD,,USD,A,0,,-649.0
2019,BN_KLT_PTXL_CD,,USD,A,0,,-458.1
2020,BN_KLT_PTXL_CD,,USD,A,0,,1313.3
2021,BN_KLT_PTXL_CD,,USD,A,0,,199.5
2022,BN_KLT_PTXL_CD,,USD,A,0,,706.7
2023,BN_KLT_PTXL_CD,,USD,A,0,,463.3
2024,BN_KLT_PTXL_CD,,USD,A,0,,129.0
2014,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,,1.3
2015,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,,0.9
2016,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,,0.6
2017,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,,1.6
2018,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,,0.8
2019,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,,0.5
2020,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,,0.0
2021,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,,0.4
2022,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,,0.7
2023,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,,0.5
2024,BX_KLT_DINV_WD_GD_ZS,,PT,A,0,,0.4
2014,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,,36.9
2015,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,,37.8
2016,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,,42.2
2017,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,,47.3
2018,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,,49.1
2019,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,,51.9
2020,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,,58.4
2021,DP_DOD_DLD2_CR_CG_Z1,,PT,A,0,,59.4
