Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2024,SP_LGL_LNDDOC,,,,PT,,66.0
2022,SP_LGL_LNDDOC,,F,,PT,,7.3
2022,SP_LGL_LNDDOC,,F,R,PT,,8.4
2022,SP_LGL_LNDDOC,,F,U,PT,,5.1
