Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2018,EG_IFF_RANDN,,KES,,2330
2019,EG_IFF_RANDN,,KES,,1348
2020,EG_IFF_RANDN,,KES,,380
2021,EG_IFF_RANDN,,KES,,2700
2022,EG_IFF_RANDN,,KES,,5400
2024,EG_IFF_RANDN,,KES,,5400
