Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2019,_L_KE_020C01_04,,IX,,0.554832
2020,_L_KE_020C01_04,,IX,,-0.295069
2021,_L_KE_020C01_04,,IX,,1.740646
2022,_L_KE_020C01_04,,IX,,3.534038
2023,_L_KE_020C01_04,,IX,,-0.336193
