Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2022,SH_MDD_CHLD,,,M6T23,PT,A,0,,36.9
2022,SH_MDD_WMN_NPRG,,F,Y15T49,PT,A,0,,48.4
