Year,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,SH_DYN_MORT,,,,PER_1000_LIVE_BIRTHS,,52
2019,SH_DYN_MORT,,,,PER_1000_LIVE_BIRTHS,,52
2022,SH_DYN_MORT,,,,PER_1000_LIVE_BIRTHS,,41
2014,SH_DYN_MORT,,,R,PER_1000_LIVE_BIRTHS,,56
2019,SH_DYN_MORT,,,R,PER_1000_LIVE_BIRTHS,,42
2022,SH_DYN_MORT,,,R,PER_1000_LIVE_BIRTHS,,41
2014,SH_DYN_MORT,,,U,PER_1000_LIVE_BIRTHS,,57
2019,SH_DYN_MORT,,,U,PER_1000_LIVE_BIRTHS,,50
2022,SH_DYN_MORT,,,U,PER_1000_LIVE_BIRTHS,,41
2022,SH_DYN_MORT,,F,,PER_1000_LIVE_BIRTHS,,38
2014,SH_DYN_MORT,,M,,PER_1000_LIVE_BIRTHS,,57
2019,SH_DYN_MORT,,M,,PER_1000_LIVE_BIRTHS,,50
2022,SH_DYN_MORT,,M,,PER_1000_LIVE_BIRTHS,,45
