Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,VC_VAW_NONMARR,,F,,,PT,,14.6
2022,VC_VAW_NONMARR,,F,,,PT,,0.6
2014,VC_VAW_NONMARR,,F,,R,PT,,11.5
2022,VC_VAW_NONMARR,,F,,R,PT,,0.5
2014,VC_VAW_NONMARR,,F,,U,PT,,20.9
2022,VC_VAW_NONMARR,,F,,U,PT,,0.6
2014,VC_VAW_NONMARR,,F,Y15T19,,PT,,17.0
2022,VC_VAW_NONMARR,,F,Y15T19,,PT,,0.8
2014,VC_VAW_NONMARR,,F,Y20T24,,PT,,6.7
2022,VC_VAW_NONMARR,,F,Y20T24,,PT,,0.8
2014,VC_VAW_NONMARR,,F,Y25T29,,PT,,29.3
2022,VC_VAW_NONMARR,,F,Y25T29,,PT,,0.5
2014,VC_VAW_NONMARR,,F,Y30T34,,PT,,12.5
2022,VC_VAW_NONMARR,,F,Y30T34,,PT,,0.3
2014,VC_VAW_NONMARR,,F,Y35T39,,PT,,7.9
2022,VC_VAW_NONMARR,,F,Y35T39,,PT,,0.3
2014,VC_VAW_NONMARR,,F,Y40T44,,PT,,14.9
2022,VC_VAW_NONMARR,,F,Y40T44,,PT,,0.6
2014,VC_VAW_NONMARR,,F,Y45T49,,PT,,4.7
2022,VC_VAW_NONMARR,,F,Y45T49,,PT,,0.6
