Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2016,FB_BNK_ACCSS,,,,,PT,A,0,2024,,75.3
2018,FB_BNK_ACCSS,,,,,PT,A,0,2024,,81.0
2019,FB_BNK_ACCSS,,,,,PT,A,0,2024,,82.9
2021,FB_BNK_ACCSS,,,,,PT,A,0,2024,,83.7
2024,FB_BNK_ACCSS,,,,,PT,A,0,2024,,84.8
2016,FB_BNK_ACCSS,,,,R,PT,A,0,2024,,69.0
2019,FB_BNK_ACCSS,,,,R,PT,A,0,2024,,77.3
2021,FB_BNK_ACCSS,,,,R,PT,A,0,2024,,79.2
2024,FB_BNK_ACCSS,,,,R,PT,A,0,2024,,80.2
2016,FB_BNK_ACCSS,,,,U,PT,A,0,2024,,86.3
2019,FB_BNK_ACCSS,,,,U,PT,A,0,2024,,91.2
2021,FB_BNK_ACCSS,,,,U,PT,A,0,2024,,91.7
2024,FB_BNK_ACCSS,,,,U,PT,A,0,2024,,91.3
2016,FB_BNK_ACCSS,,,Y_GE56,,PT,A,0,2024,,62.2
2019,FB_BNK_ACCSS,,,Y_GE56,,PT,A,0,2024,,73.9
2021,FB_BNK_ACCSS,,,Y_GE56,,PT,A,0,2024,,78.9
2024,FB_BNK_ACCSS,,,Y_GE56,,PT,A,0,2024,,84.1
2016,FB_BNK_ACCSS,,,Y18T25,,PT,A,0,2024,,69.4
2019,FB_BNK_ACCSS,,,Y18T25,,PT,A,0,2024,,75.5
2021,FB_BNK_ACCSS,,,Y18T25,,PT,A,0,2024,,71.8
2024,FB_BNK_ACCSS,,,Y18T25,,PT,A,0,2024,,69.1
2016,FB_BNK_ACCSS,,,Y26T35,,PT,A,0,2024,,82.5
2019,FB_BNK_ACCSS,,,Y26T35,,PT,A,0,2024,,89.0
2021,FB_BNK_ACCSS,,,Y26T35,,PT,A,0,2024,,90.8
2024,FB_BNK_ACCSS,,,Y26T35,,PT,A,0,2024,,92.9
2016,FB_BNK_ACCSS,,,Y36T45,,PT,A,0,2024,,81.5
2019,FB_BNK_ACCSS,,,Y36T45,,PT,A,0,2024,,87.8
2021,FB_BNK_ACCSS,,,Y36T45,,PT,A,0,2024,,91.1
2024,FB_BNK_ACCSS,,,Y36T45,,PT,A,0,2024,,92.7
2016,FB_BNK_ACCSS,,,Y46T55,,PT,A,0,2024,,78.2
2019,FB_BNK_ACCSS,,,Y46T55,,PT,A,0,2024,,87.5
2021,FB_BNK_ACCSS,,,Y46T55,,PT,A,0,2024,,89.9
2024,FB_BNK_ACCSS,,,Y46T55,,PT,A,0,2024,,91.9
2016,FB_BNK_ACCSS,,F,,,PT,A,0,2024,,71.2
2019,FB_BNK_ACCSS,,F,,,PT,A,0,2024,,80.4
2021,FB_BNK_ACCSS,,F,,,PT,A,0,2024,,81.7
2024,FB_BNK_ACCSS,,F,,,PT,A,0,2024,,84.1
2016,FB_BNK_ACCSS,,M,,,PT,A,0,2024,,79.7
2019,FB_BNK_ACCSS,,M,,,PT,A,0,2024,,85.6
2021,FB_BNK_ACCSS,,M,,,PT,A,0,2024,,85.9
2024,FB_BNK_ACCSS,,M,,,PT,A,0,2024,,85.7
