Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2014,SL_LBR_NTLCPL,,NUMBER,A,3,2024,,328
2015,SL_LBR_NTLCPL,,NUMBER,A,3,2024,,230
2016,SL_LBR_NTLCPL,,NUMBER,A,3,2024,,298
2017,SL_LBR_NTLCPL,,NUMBER,A,3,2024,,386
2018,SL_LBR_NTLCPL,,NUMBER,A,3,2024,,313
2019,SL_LBR_NTLCPL,,NUMBER,A,3,2024,,263
2020,SL_LBR_NTLCPL,,NUMBER,A,3,2024,,172
2021,SL_LBR_NTLCPL,,NUMBER,A,3,2024,,166
2022,SL_LBR_NTLCPL,,NUMBER,A,3,2024,,315
2023,SL_LBR_NTLCPL,,NUMBER,A,3,2024,,334
2024,SL_LBR_NTLCPL,,NUMBER,A,3,2024,,319
