Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,_L_KE_060a01_01,,USD,A,6,,204.8
2015,_L_KE_060a01_01,,USD,A,6,,172.6
2016,_L_KE_060a01_01,,USD,A,6,,220.5
2017,_L_KE_060a01_01,,USD,A,6,,244.3
2018,_L_KE_060a01_01,,USD,A,6,,295.3
2019,_L_KE_060a01_01,,USD,A,6,,217.2
2020,_L_KE_060a01_01,,USD,A,6,,206.9
2021,_L_KE_060a01_01,,USD,A,6,,247.1
2023,_L_KE_060a01_01,,USD,A,6,,261.0
