Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2017,ER_H2O_IWRMD,,PT,,52.6
2020,ER_H2O_IWRMD,,PT,,59.0
2023,ER_H2O_IWRMD,,PT,,62.0
