Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,GeoCode,Value
2014,SH_STA_FGMS,,F,,,PT,A,0,,21.0
2022,SH_STA_FGMS,,F,,,PT,A,0,,14.8
2014,SH_STA_FGMS,,F,,R,PT,A,0,,14.1
2022,SH_STA_FGMS,,F,,R,PT,A,0,,18.4
2014,SH_STA_FGMS,,F,,U,PT,A,0,,27.0
2022,SH_STA_FGMS,,F,,U,PT,A,0,,9.7
2014,SH_STA_FGMS,,F,Y15T19,,PT,A,0,,11.4
2022,SH_STA_FGMS,,F,Y15T19,,PT,A,0,,9.1
2014,SH_STA_FGMS,,F,Y20T24,,PT,A,0,,14.7
2022,SH_STA_FGMS,,F,Y20T24,,PT,A,0,,9.9
2014,SH_STA_FGMS,,F,Y25T29,,PT,A,0,,18.0
2022,SH_STA_FGMS,,F,Y25T29,,PT,A,0,,13.2
2014,SH_STA_FGMS,,F,Y30T34,,PT,A,0,,22.9
2022,SH_STA_FGMS,,F,Y30T34,,PT,A,0,,16.1
2014,SH_STA_FGMS,,F,Y35T39,,PT,A,0,,27.8
2022,SH_STA_FGMS,,F,Y35T39,,PT,A,0,,18.7
2014,SH_STA_FGMS,,F,Y40T44,,PT,A,0,,32.1
2022,SH_STA_FGMS,,F,Y40T44,,PT,A,0,,23.8
2014,SH_STA_FGMS,,F,Y45T49,,PT,A,0,,40.9
2022,SH_STA_FGMS,,F,Y45T49,,PT,A,0,,23.1
