Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,GeoCode,Value
2018,_L_KE_150a01_01,,KES,A,6,2024,,197.32099
2019,_L_KE_150a01_01,,KES,A,6,2024,,395.016
2020,_L_KE_150a01_01,,KES,A,6,2024,,269.0
2021,_L_KE_150a01_01,,KES,A,6,2024,,208.0
2022,_L_KE_150a01_01,,KES,A,6,2024,,300.0
2023,_L_KE_150a01_01,,KES,A,6,2024,,1000.0
2024,_L_KE_150a01_01,,KES,A,6,2024,,330.0
