Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2014,VC_ARM_SZTRACE,,NUMBER,A,0,2023,Firearms recovered and surrendered,Economic Survey,,392
2015,VC_ARM_SZTRACE,,NUMBER,A,0,2023,Firearms recovered and surrendered,Economic Survey,,331
2016,VC_ARM_SZTRACE,,NUMBER,A,0,2023,Firearms recovered and surrendered,Economic Survey,,444
2017,VC_ARM_SZTRACE,,NUMBER,A,0,2023,Firearms recovered and surrendered,Economic Survey,,186
2018,VC_ARM_SZTRACE,,NUMBER,A,0,2023,Firearms recovered and surrendered,Economic Survey,,185
2019,VC_ARM_SZTRACE,,NUMBER,A,0,2023,Firearms recovered and surrendered,Economic Survey,,988
2020,VC_ARM_SZTRACE,,NUMBER,A,0,2023,Firearms recovered and surrendered,Economic Survey,,236
2021,VC_ARM_SZTRACE,,NUMBER,A,0,2023,Firearms recovered and surrendered,Economic Survey,,114
2022,VC_ARM_SZTRACE,,NUMBER,A,0,2023,Firearms recovered and surrendered,Economic Survey,,610
2023,VC_ARM_SZTRACE,,NUMBER,A,0,2023,Firearms recovered and surrendered,Economic Survey,,296
