Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2019,A,0,SP_TRN_PUBL,KE_KIS,CITY,PT,2019,KE_KIS,10
2019,A,0,SP_TRN_PUBL,KE_MBA,CITY,PT,2019,KE_MBA,20
2019,A,0,SP_TRN_PUBL,KE_NBO,CITY,PT,2019,KE_NBO,66
2019,A,0,SP_TRN_PUBL,KE_NUU,CITY,PT,2019,KE_NUU,16
