Year,SERIES,REF_AREA,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,GeoCode,Value
2018,DC_TOF_AGRL,,KES,A,6,2023,"AIA, loans and grants to livestock,crop and fisheries, aquatic and blue economy",External revenue estimates handbook - Agriculture,,6219.8
2019,DC_TOF_AGRL,,KES,A,6,2023,"AIA, loans and grants to livestock,crop and fisheries, aquatic and blue economy",External revenue estimates handbook - Agriculture,,15520.1
2020,DC_TOF_AGRL,,KES,A,6,2023,"AIA, loans and grants to livestock,crop and fisheries, aquatic and blue economy",External revenue estimates handbook - Agriculture,,15981.0
2021,DC_TOF_AGRL,,KES,A,6,2023,"AIA, loans and grants to livestock,crop and fisheries, aquatic and blue economy",External revenue estimates handbook - Agriculture,,281388.6
2022,DC_TOF_AGRL,,KES,A,6,2023,"AIA, loans and grants to livestock,crop and fisheries, aquatic and blue economy",External revenue estimates handbook - Agriculture,,33238.8
2023,DC_TOF_AGRL,,KES,A,6,2023,"AIA, loans and grants to livestock,crop and fisheries, aquatic and blue economy",External revenue estimates handbook - Agriculture,,34387.1
